title,singer,image_url,genre
OOH-AHH하게,TWICE (트와이스),https://cdnimg.melon.co.kr/cm/album/images/026/45/617/2645617_500.jpg/melon/resize/120/quality/80/optimize,Dance
U-Go-Girl (With 낯선),이효리,https://cdnimg.melon.co.kr/cm/album/images/003/89/651/389651_500.jpg/melon/resize/120/quality/80/optimize,Dance
실연,코요태,https://cdnimg.melon.co.kr/cm/album/images/000/04/937/4937_500.jpg/melon/resize/120/quality/80/optimize,Dance
So Hot,원더걸스,https://cdnimg.melon.co.kr/cm/album/images/003/81/932/381932_500.jpg/melon/resize/120/quality/80/optimize,Dance
그녀와의 이별,김현정,https://cdnimg.melon.co.kr/cm/album/images/000/03/014/3014_500.jpg/melon/resize/120/quality/80/optimize,Dance
Diva,애프터스쿨,https://cdnimg.melon.co.kr/cm/album/images/005/37/052/537052_500.jpg/melon/resize/120/quality/80/optimize,Dance
심쿵해 (Heart Attack),AOA,https://cdnimg.melon.co.kr/cm/album/images/023/25/321/2325321_500.jpg/melon/resize/120/quality/80/optimize,Dance
3!4!,룰라,https://cdnimg.melon.co.kr/cm/album/images/000/05/349/5349_500.jpg/melon/resize/120/quality/80/optimize,Dance
UGLY,2NE1,https://cdnimg.melon.co.kr/cm/album/images/013/56/152/1356152_500.jpg/melon/resize/120/quality/80/optimize,Dance
Lion Heart,소녀시대 (GIRLS' GENERATION),https://cdnimg.melon.co.kr/cm/album/images/023/35/204/2335204_500.jpg/melon/resize/120/quality/80/optimize,Dance
Poison,엄정화,https://cdnimg.melon.co.kr/cm/album/images/000/04/311/4311_500.jpg/melon/resize/120/quality/80/optimize,Dance
"스물다섯, 스물하나",자우림,https://cdnimg.melon.co.kr/cm/album/images/022/10/557/2210557_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
사랑했나봐,윤도현,https://cdnimg.melon.co.kr/cm/album/images/003/01/886/301886_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
벚꽃 엔딩,버스커 버스커,https://cdnimg.melon.co.kr/cm/album/images/020/97/226/2097226_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
기억을 걷는 시간,넬 (NELL),https://cdnimg.melon.co.kr/cm/album/images/003/74/383/374383_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
남자를 몰라,버즈,https://cdnimg.melon.co.kr/cm/album/images/003/17/113/317113_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
안아줘,정준일,https://cdnimg.melon.co.kr/cm/album/images/020/38/488/2038488_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
사랑의 바보,더 넛츠 (The NuTs),https://cdnimg.melon.co.kr/cm/album/images/000/35/269/35269_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
Monologue,버즈,https://cdnimg.melon.co.kr/cm2/album/images/000/32/889/32889_20220615123143_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
겁쟁이,버즈,https://cdnimg.melon.co.kr/cm2/album/images/003/00/646/300646_20230306155609_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
Never Ending Story,부활,https://cdnimg.melon.co.kr/cm/album/images/000/16/672/16672_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
나에게로 떠나는 여행,버즈,https://cdnimg.melon.co.kr/cm2/album/images/003/00/646/300646_20230306155609_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
위잉위잉,혁오 (HYUKOH),https://cdnimg.melon.co.kr/cm/album/images/022/82/505/2282505_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
이미 슬픈 사랑,야다 (Yada),https://cdnimg.melon.co.kr/cm/album/images/000/05/446/5446_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
사랑앓이,FTISLAND (FT아일랜드),https://cdnimg.melon.co.kr/cm/album/images/003/52/436/352436_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
비밀번호 486,윤하 (YOUNHA),https://cdnimg.melon.co.kr/cm/album/images/003/47/264/347264_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
고백,델리스파이스,https://cdnimg.melon.co.kr/cm/album/images/000/29/678/29678_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
겨울을 걷는다,윤딴딴,https://cdnimg.melon.co.kr/cm/album/images/022/33/048/2233048_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
Endless,플라워,https://cdnimg.melon.co.kr/cm/album/images/000/00/781/781_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
여수 밤바다,버스커 버스커,https://cdnimg.melon.co.kr/cm/album/images/020/97/226/2097226_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
그래서 그대는,얀,https://cdnimg.melon.co.kr/cm/album/images/000/16/605/16605_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
고백,뜨거운 감자,https://cdnimg.melon.co.kr/cm/album/images/008/42/655/842655_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
꽃송이가,버스커 버스커,https://cdnimg.melon.co.kr/cm/album/images/020/97/226/2097226_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
발걸음,에메랄드 캐슬,https://cdnimg.melon.co.kr/cm/album/images/000/05/242/5242_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
My Love (And),버즈,https://cdnimg.melon.co.kr/cm/album/images/003/17/113/317113_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
처음엔 사랑이란게,버스커 버스커,https://cdnimg.melon.co.kr/cm/album/images/022/02/410/2202410_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
흰수염고래,YB (윤도현 밴드),https://cdnimg.melon.co.kr/cm/album/images/020/37/979/2037979_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
낭만고양이,체리필터 (cherryfilter),https://cdnimg.melon.co.kr/cm/album/images/000/16/600/16600_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
바래,FTISLAND (FT아일랜드),https://cdnimg.melon.co.kr/cm/album/images/006/05/252/605252_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
질풍가도 ('쾌걸 근육맨 2세' 1기 여는노래),유정석,https://cdnimg.melon.co.kr/cm/album/images/003/16/819/316819_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
금지된 사랑,김경호,https://cdnimg.melon.co.kr/cm/album/images/000/03/022/3022_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
고백,정준일,https://cdnimg.melon.co.kr/cm/album/images/022/26/707/2226707_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
영원,스카이,https://cdnimg.melon.co.kr/cm2/album/images/000/07/874/7874_20250312180002_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
사랑 Two,윤도현,https://cdnimg.melon.co.kr/cm/album/images/000/04/360/4360_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
